INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-09-16T09:00:00-00:00,2018-09-16T10:00:00-00:00,2018-09-16,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.46833,1
2018-09-16T12:00:00-00:00,2018-09-16T13:00:00-00:00,2018-09-16,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.95867,1
2018-09-17T06:00:00-00:00,2018-09-17T07:00:00-00:00,2018-09-16,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.55193,1
2018-09-16T18:00:00-00:00,2018-09-16T19:00:00-00:00,2018-09-16,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,20.00273,1
2018-09-16T20:00:00-00:00,2018-09-16T21:00:00-00:00,2018-09-16,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,23.94088,1
2018-09-16T23:00:00-00:00,2018-09-17T00:00:00-00:00,2018-09-16,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.4033,1
2018-09-16T17:00:00-00:00,2018-09-16T18:00:00-00:00,2018-09-16,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,17.51342,1
2018-09-16T21:00:00-00:00,2018-09-16T22:00:00-00:00,2018-09-16,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.66754,1
2018-09-16T10:00:00-00:00,2018-09-16T11:00:00-00:00,2018-09-16,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.34033,1
2018-09-17T03:00:00-00:00,2018-09-17T04:00:00-00:00,2018-09-16,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.97244,1
