INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-09-16T02:00:00-00:00,2019-09-16T03:00:00-00:00,2019-09-15,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,52.93285,1
2019-09-15T12:00:00-00:00,2019-09-15T13:00:00-00:00,2019-09-15,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.08123,1
2019-09-15T19:00:00-00:00,2019-09-15T20:00:00-00:00,2019-09-15,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.5873,1
2019-09-15T20:00:00-00:00,2019-09-15T21:00:00-00:00,2019-09-15,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.88694,1
2019-09-15T21:00:00-00:00,2019-09-15T22:00:00-00:00,2019-09-15,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.39818,1
2019-09-15T10:00:00-00:00,2019-09-15T11:00:00-00:00,2019-09-15,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.16779,1
2019-09-15T15:00:00-00:00,2019-09-15T16:00:00-00:00,2019-09-15,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,22.62645,1
2019-09-15T08:00:00-00:00,2019-09-15T09:00:00-00:00,2019-09-15,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.54401,1
2019-09-15T09:00:00-00:00,2019-09-15T10:00:00-00:00,2019-09-15,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.3142,1
2019-09-15T18:00:00-00:00,2019-09-15T19:00:00-00:00,2019-09-15,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,24.66711,1
2019-09-15T22:00:00-00:00,2019-09-15T23:00:00-00:00,2019-09-15,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.31429,1
2019-09-15T07:00:00-00:00,2019-09-15T08:00:00-00:00,2019-09-15,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.7622,1
2019-09-16T04:00:00-00:00,2019-09-16T05:00:00-00:00,2019-09-15,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.90664,1
2019-09-15T14:00:00-00:00,2019-09-15T15:00:00-00:00,2019-09-15,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.19573,1
2019-09-15T23:00:00-00:00,2019-09-16T00:00:00-00:00,2019-09-15,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.97433,1
2019-09-16T01:00:00-00:00,2019-09-16T02:00:00-00:00,2019-09-15,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.68391,1
2019-09-16T05:00:00-00:00,2019-09-16T06:00:00-00:00,2019-09-15,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.16421,1
2019-09-16T06:00:00-00:00,2019-09-16T07:00:00-00:00,2019-09-15,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.26479,1
2019-09-15T16:00:00-00:00,2019-09-15T17:00:00-00:00,2019-09-15,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,19.69757,1
2019-09-15T17:00:00-00:00,2019-09-15T18:00:00-00:00,2019-09-15,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,21.26135,1
2019-09-15T13:00:00-00:00,2019-09-15T14:00:00-00:00,2019-09-15,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.39281,1
2019-09-16T00:00:00-00:00,2019-09-16T01:00:00-00:00,2019-09-15,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,40.40469,1
2019-09-15T11:00:00-00:00,2019-09-15T12:00:00-00:00,2019-09-15,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.90295,1
2019-09-16T03:00:00-00:00,2019-09-16T04:00:00-00:00,2019-09-15,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.84841,1
2019-09-15T13:00:00-00:00,2019-09-15T14:00:00-00:00,2019-09-15,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T20:00:00-00:00,2019-09-15T21:00:00-00:00,2019-09-15,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-16T01:00:00-00:00,2019-09-16T02:00:00-00:00,2019-09-15,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-16T04:00:00-00:00,2019-09-16T05:00:00-00:00,2019-09-15,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T08:00:00-00:00,2019-09-15T09:00:00-00:00,2019-09-15,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-16T06:00:00-00:00,2019-09-16T07:00:00-00:00,2019-09-15,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T18:00:00-00:00,2019-09-15T19:00:00-00:00,2019-09-15,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T23:00:00-00:00,2019-09-16T00:00:00-00:00,2019-09-15,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-1.619,2
2019-09-15T10:00:00-00:00,2019-09-15T11:00:00-00:00,2019-09-15,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T11:00:00-00:00,2019-09-15T12:00:00-00:00,2019-09-15,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-16T02:00:00-00:00,2019-09-16T03:00:00-00:00,2019-09-15,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-16T03:00:00-00:00,2019-09-16T04:00:00-00:00,2019-09-15,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T17:00:00-00:00,2019-09-15T18:00:00-00:00,2019-09-15,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T19:00:00-00:00,2019-09-15T20:00:00-00:00,2019-09-15,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T22:00:00-00:00,2019-09-15T23:00:00-00:00,2019-09-15,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-1.23274,2
2019-09-15T16:00:00-00:00,2019-09-15T17:00:00-00:00,2019-09-15,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T07:00:00-00:00,2019-09-15T08:00:00-00:00,2019-09-15,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-16T05:00:00-00:00,2019-09-16T06:00:00-00:00,2019-09-15,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.61909,2
2019-09-15T14:00:00-00:00,2019-09-15T15:00:00-00:00,2019-09-15,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T15:00:00-00:00,2019-09-15T16:00:00-00:00,2019-09-15,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-09-15T21:00:00-00:00,2019-09-15T22:00:00-00:00,2019-09-15,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.67387,2
