INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2018-10-13T11:00:00-00:00,2018-10-13T12:00:00-00:00,2018-10-13,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.74459,1
2018-10-13T20:00:00-00:00,2018-10-13T21:00:00-00:00,2018-10-13,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.01809,1
2018-10-13T21:00:00-00:00,2018-10-13T22:00:00-00:00,2018-10-13,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.3993,1
2018-10-13T22:00:00-00:00,2018-10-13T23:00:00-00:00,2018-10-13,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.282,1
2018-10-14T03:00:00-00:00,2018-10-14T04:00:00-00:00,2018-10-13,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.76242,1
2018-10-13T10:00:00-00:00,2018-10-13T11:00:00-00:00,2018-10-13,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.73377,1
2018-10-13T17:00:00-00:00,2018-10-13T18:00:00-00:00,2018-10-13,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.55352,1
2018-10-14T05:00:00-00:00,2018-10-14T06:00:00-00:00,2018-10-13,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.87852,1
2018-10-14T06:00:00-00:00,2018-10-14T07:00:00-00:00,2018-10-13,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.2344,1
2018-10-13T15:00:00-00:00,2018-10-13T16:00:00-00:00,2018-10-13,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.83356,1
2018-10-13T18:00:00-00:00,2018-10-13T19:00:00-00:00,2018-10-13,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.33307,1
2018-10-13T09:00:00-00:00,2018-10-13T10:00:00-00:00,2018-10-13,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.33429,1
2018-10-13T23:00:00-00:00,2018-10-14T00:00:00-00:00,2018-10-13,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.05248,1
2018-10-14T00:00:00-00:00,2018-10-14T01:00:00-00:00,2018-10-13,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.05055,1
2018-10-13T12:00:00-00:00,2018-10-13T13:00:00-00:00,2018-10-13,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.23473,1
2018-10-14T02:00:00-00:00,2018-10-14T03:00:00-00:00,2018-10-13,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.59814,1
2018-10-14T04:00:00-00:00,2018-10-14T05:00:00-00:00,2018-10-13,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.37066,1
