Demand 10/11/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day ahead forecast,22834,21705,21705,21705,21705,21705,21705,21705,21705,21705,21705,21705,21705,20880,20880,20880,20880,20880,20880,20880,20880,20880,20880,20880,20880,20337,20337,20337,20337,20337,20337,20337,20337,20337,20337,20337,20337,20262,20262,20262,20262,20262,20262,20262,20262,20262,20262,20262,20262,20577,20577,20577,20577,20577,20577,20577,20577,20577,20577,20577,20577,21961,21961,21961,21961,21961,21961,21961,21961,21961,21961,21961,21961,24408,24408,24408,24408,24408,24408,24408,24408,24408,24408,24408,24408,25428,25428,25428,25428,25428,25428,25428,25428,25428,25428,25428,25428,25366,25366,25366,25366,25366,25366,25366,25366,25366,25366,25366,25366,25256,25256,25256,25256,25256,25256,25256,25256,25256,25256,25256,25256,25055,25055,25055,25055,25055,25055,25055,25055,25055,25055,25055,25055,24814,24814,24814,24814,24814,24814,24814,24814,24814,24814,24814,24814,24779,24779,24779,24779,24779,24779,24779,24779,24779,24779,24779,24779,25173,25173,25173,25173,25173,25173,25173,25173,25173,25173,25173,25173,25605,25605,25605,25605,25605,25605,25605,25605,25605,25605,25605,25605,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26290,26794,26794,26794,26794,26794,26794,26794,26794,26794,26794,26794,26794,27198,27198,27198,27198,27198,27198,27198,27198,27198,27198,27198,27198,28137,28137,28137,28137,28137,28137,28137,28137,28137,28137,28137,28137,28948,28948,28948,28948,28948,28948,28948,28948,28948,28948,28948,28948,28067,28067,28067,28067,28067,28067,28067,28067,28067,28067,28067,28067,26531,26531,26531,26531,26531,26531,26531,26531,26531,26531,26531,26531,24546,24546,24546,24546,24546,24546,24546,24546,24546,24546,24546,24546,22859,22859,22859,22859,22859,22859,22859,22859,22859,22859,22859,22859
Hour ahead forecast,22444,22251,22251,22251,22024,22024,22024,21758,21758,21758,21591,21591,21591,21458,21458,21458,21291,21291,21291,21078,21078,21078,20859,20859,20859,20767,20767,20767,20618,20618,20618,20512,20512,20512,20421,20421,20421,20428,20428,20428,20415,20415,20415,20461,20461,20461,20450,20450,20450,20604,20604,20604,20742,20742,20742,20890,20890,20890,21082,21082,21082,21611,21611,21611,21965,21965,21965,22365,22365,22365,22854,22854,22854,23714,23714,23714,24393,24393,24393,24835,24835,24835,25098,25098,25098,25611,25611,25611,25735,25735,25735,25753,25753,25753,25814,25814,25814,26001,26001,26001,26081,26081,26081,26062,26062,26062,25997,25997,25997,26024,26024,26024,26024,26024,26024,25934,25934,25934,25822,25822,25822,25779,25779,25779,25743,25743,25743,25560,25560,25560,25473,25473,25473,25377,25377,25377,25365,25365,25365,25338,25338,25338,25333,25333,25333,25184,25184,25184,25165,25165,25165,25092,25092,25092,25172,25172,25172,25195,25195,25195,25282,25282,25282,25365,25365,25365,25451,25451,25451,25478,25478,25478,25576,25576,25576,25703,25703,25703,25872,25872,25872,26081,26081,26081,26255,26255,26255,26253,26253,26253,26437,26437,26437,26555,26555,26555,26716,26716,26716,26848,26848,26848,26936,26936,26936,27137,27137,27137,27307,27307,27307,27415,27415,27415,27604,27604,27604,27775,27775,27775,28182,28182,28182,28711,28711,28711,29146,29146,29146,29308,29308,29308,29340,29340,29340,29233,29233,29233,28878,28878,28878,28604,28604,28604,28342,28342,28342,28027,28027,28027,27753,27753,27753,27357,27357,27357,26967,26967,26967,26629,26629,26629,26168,26168,26168,25575,25575,25575,25057,25057,25057,24586,24586,24586,24050,24050,24050,23633,23633,23633,23261,23261,23261,22978,22978,22978,22572,22572,22572
Demand (5 min. avg.),22385,22379,22344,22319,22244,22177,22082,21924,21909,21835,21751,21678,21554,21465,21440,21396,21319,21176,21138,21085,21010,21001,20914,20868,20782,20747,20735,20717,20671,20635,20541,20507,20519,20489,20482,20418,20423,20409,20455,20432,20414,20377,20353,20321,20389,20389,20374,20389,20458,20492,20616,20687,20716,20691,20729,20834,20893,20971,20991,21114,21204,21371,21655,21832,21938,22004,22105,22232,22400,22534,22649,22773,22960,23230,23663,23872,24108,24226,24349,24579,24858,24987,25146,25271,25327,25493,25656,25767,25805,25802,25816,25858,25897,25893,25872,25842,25898,25927,26055,26081,26075,26006,25995,26090,26097,26054,25986,26007,26004,26008,26028,25948,25963,25936,25908,25868,25845,25777,25826,25797,25759,25714,25662,25597,25578,25604,25542,25519,25530,25485,25468,25537,25519,25465,25464,25387,25422,25455,25415,25407,25395,25354,25298,25278,25236,25191,25132,25107,25086,25134,25096,25143,25159,25130,25161,25187,25146,25123,25180,25214,25250,25263,25328,25331,25314,25376,25407,25426,25433,25491,25512,25557,25593,25668,25690,25760,25775,25842,25918,25982,26001,25919,25904,25943,26024,26109,26162,26195,26310,26320,26368,26401,26525,26551,26512,26530,26573,26672,26746,26833,26876,27004,27066,27130,27195,27118,27107,27210,27282,27296,27378,27417,27454,27511,27583,27662,27766,27734,27749,27869,28010,28148,28287,28494,28663,28863,29047,29135,29209,29299,29315,29276,29242,29205,29171,29138,29066,29010,28950,28888,28819,28701,28589,28522,28422,28364,28283,28168,28065,27970,27883,27789,27660,27573,27493,27356,27207,27112,26953,26811,26674,26569,26399,26240,26042,25823,25651,25427,25220,25089,24960,24779,24660,24482,24255,24102,23994,23828,23724,23602,23417,23301,23155,23032,22853,22715,22599,22518,
